Name,Course_title,Course_name,Session,Class_Number,Career,Units,Grading,Description,Enrollment_Requirements,Add_Consent,Instructor,Meets,Dates,Room,Instruction_Mode,Campus,Location,Components,Status
Section: BLEC-LEC (17143) Session: Regular Academic Session Days/Times: MoWe 3:00pm - 4:20pm Dates: 01/27/2020 - 05/11/2020 Instructor: Itay Tal Status: Closed,CS-UY 1134 - BLEC,Data Structures and Algorithms,Regular Academic Session,17143,Undergraduate,4 units,Ugrd Tandon Graded,This course covers abstract data types and the implementation and use of standard data structures along with fundamental algorithms and the basics of algorithm analysis. Not open to students who have taken CS-UY 2134. | Prerequisite for Brooklyn Students: CS-UY 1114 (C- or better) | Prerequisite for Abu Dhabi Students: CS-UH 1001 or ENGR-UH 1000 | Prerequisite for Shanghai Students: CSCI-SHU 101 | Corequisite for all Students: EX-UY 1,None,Department Consent Required,Itay Tal,MoWe 3:00PM - 4:20PM,01/27/2020 - 05/11/2020,Jacobs Academic Bldg Rm 775B Loc: Brooklyn Campus,In-Person,"Laboratory Required, Lecture Required",Brooklyn Campus,"Laboratory Required, Lecture Required",Open
Section: LB7-LAB (17154) Session: Regular Academic Session Days/Times: Fr 11:00am - 1:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Itay Tal Status: Closed,CS-UY 1134 - LB7,Data Structures and Algorithms,Regular Academic Session,17154,Undergraduate,0 units,Ugrd Tandon Graded,This course covers abstract data types and the implementation and use of standard data structures along with fundamental algorithms and the basics of algorithm analysis. Not open to students who have taken CS-UY 2134. | Prerequisite for Brooklyn Students: CS-UY 1114 (C- or better) | Prerequisite for Abu Dhabi Students: CS-UH 1001 or ENGR-UH 1000 | Prerequisite for Shanghai Students: CSCI-SHU 101 | Corequisite for all Students: EX-UY 1,None,CS-UY 1134 Prerequisite: CS-UY 1114 (C- or better); Corequisite: EX-UY 1,Itay Tal,Fr 11:00AM - 1:50PM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 325 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Closed
Section: LB1-LAB (17148) Session: Regular Academic Session Days/Times: Fr 8:00am - 10:50am Dates: 01/27/2020 - 05/11/2020 Instructor: Itay Tal Status: Closed,CS-UY 1134 - LB1,Data Structures and Algorithms,Regular Academic Session,17148,Undergraduate,0 units,Ugrd Tandon Graded,This course covers abstract data types and the implementation and use of standard data structures along with fundamental algorithms and the basics of algorithm analysis. Not open to students who have taken CS-UY 2134. | Prerequisite for Brooklyn Students: CS-UY 1114 (C- or better) | Prerequisite for Abu Dhabi Students: CS-UH 1001 or ENGR-UH 1000 | Prerequisite for Shanghai Students: CSCI-SHU 101 | Corequisite for all Students: EX-UY 1,None,CS-UY 1134 Prerequisite: CS-UY 1114 (C- or better); Corequisite: EX-UY 1,Itay Tal,Fr 8:00AM - 10:50AM,01/27/2020 - 05/11/2020,Jacobs Academic Bldg Rm 775B Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Closed
Section: LB7-LAB (17440) Session: Regular Academic Session Days/Times: Fr 8:00am - 10:50am Dates: 01/27/2020 - 05/11/2020 Instructor: Peter DePasquale Status: Open,CS-UY 1114 - LB7,INTRO TO PROGRAMMING & PROBLEM SOLVING,Regular Academic Session,17440,Undergraduate,0 units,Ugrd Tandon Graded,"This course introduces problem solving and computer programming and is for undergraduate Computer Science and Computer Engineering majors who have limited prior experience in programming in any language.  The course covers fundamentals of computer programming and its underlying principles using the Python programming language.  Concepts and methods introduced in the

course are illustrated by examples from various disciplines.  ABET competencies: a,b,c, e, f, g, k | Corequisite: EX-UY 1",None,Corequisite: EX-UY 1,Peter DePasquale,Fr 8:00AM - 10:50AM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 213 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Open
Section: BK06-PRO (17180) Session: Regular Academic Session Days/Times: TBA Dates: 01/27/2020 - 05/11/2020 Instructor: Staff Status: Open,CS-UY 394X - BK06,SPECIAL TOPICS IN COMPUTER SCIENCE,Regular Academic Session,17180,Undergraduate,1 - 4 units,Ugrd Tandon Graded,This variable-credit special topics course is for juniors and seniors. | Prerequisite: Departmentâ€™s permission.,None,Department Consent Required,Staff,TBA,01/27/2020 - 05/11/2020,No Room Required Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Project Required,Open
Section: BK06-RSC (23349) Session: Regular Academic Session Days/Times: TBA Dates: 01/27/2020 - 05/11/2020 Instructor: Staff Status: Open,CS-UY 420X - BK06,UNDERGRADUATE RESEARCH IN COMPUTER SCIENCE,Regular Academic Session,23349,Undergraduate,2 - 4 units,Ugrd Tandon Graded,"The student conducts research under the supervision of a faculty member, possibly leading to results publishable in the computer science literature. A substantial commitment to this work is expected. The research project may be one or two semesters, to be determined in consultation with the faculty supervisor. Students must submit written and/or oral reports at the conclusion of the project. Students who are interested in taking this course should speak to faculty members well in advance about research opportunities and background needed. | Prerequisite: permission of instructor",None,Department Consent Required,Staff,TBA,01/27/2020 - 05/11/2020,No Room Required Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Research Required,Open
Section: CLEC-LEC (17366) Session: Regular Academic Session Days/Times: MoWe 9:00am - 10:20am Dates: 01/27/2020 - 05/11/2020 Instructor: Peter DePasquale Status: Closed,CS-UY 1114 - CLEC,INTRO TO PROGRAMMING & PROBLEM SOLVING,Regular Academic Session,17366,Undergraduate,4 units,Ugrd Tandon Graded,"This course introduces problem solving and computer programming and is for undergraduate Computer Science and Computer Engineering majors who have limited prior experience in programming in any language.  The course covers fundamentals of computer programming and its underlying principles using the Python programming language.  Concepts and methods introduced in the

course are illustrated by examples from various disciplines.  ABET competencies: a,b,c, e, f, g, k | Corequisite: EX-UY 1",None,Department Consent Required,Peter DePasquale,MoWe 9:00AM - 10:20AM,01/27/2020 - 05/11/2020,Jacobs Academic Bldg Rm 774 Loc: Brooklyn Campus,In-Person,"Laboratory Required, Lecture Required",Brooklyn Campus,"Laboratory Required, Lecture Required",Open
Section: LB1-LAB (16871) Session: Regular Academic Session Days/Times: Fr 8:00am - 10:50am Dates: 01/27/2020 - 05/11/2020 Instructor: Peter DePasquale Status: Open,CS-UY 1114 - LB1,INTRO TO PROGRAMMING & PROBLEM SOLVING,Regular Academic Session,16871,Undergraduate,0 units,Ugrd Tandon Graded,"This course introduces problem solving and computer programming and is for undergraduate Computer Science and Computer Engineering majors who have limited prior experience in programming in any language.  The course covers fundamentals of computer programming and its underlying principles using the Python programming language.  Concepts and methods introduced in the

course are illustrated by examples from various disciplines.  ABET competencies: a,b,c, e, f, g, k | Corequisite: EX-UY 1",None,Corequisite: EX-UY 1,Peter DePasquale,Fr 8:00AM - 10:50AM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 200 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Open
Section: BK09-LEC (24924) Topic: INTRO TO BLOCKCHAIN & DISTRIBUTED LEDGER TECH (DLT Session: Regular Academic Session Days/Times: TuTh 9:30am - 10:50am Dates: 01/27/2020 - 05/11/2020 Instructor: Ayesha J Kiani Status: Open,CS-UY 3943 - BK09,SPECIAL TOPICS IN COMPUTER SCIENCE,Regular Academic Session,24924,Undergraduate,3 units,Ugrd Tandon Graded,INTRO TO BLOCKCHAIN & DISTRIBUTED LEDGER TECH (DLT,None,This three-credit special topics course is for juniors and seniors. | Prerequisite: Departmentâ€™s permission.,Ayesha J Kiani,TuTh 9:30AM - 10:50AM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 503 Loc: Brooklyn Campus",In-Person,Lecture Required,Brooklyn Campus,Lecture Required,Open
Section: GLAB-LAB (17386) Session: Regular Academic Session Days/Times: Fr 11:00am - 1:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: John Sterling Status: Open,CS-UY 2124 - GLAB,Object Oriented Programming,Regular Academic Session,17386,Undergraduate,0 units,Ugrd Tandon Graded,"This intermediate-level programming course teaches object-oriented programming in C++. Topics: Pointers, dynamic memory allocation and recursion. Classes and objects including constructors, destructors, methods (member functions) and data members. Access and the interface to relationships of classes including composition, association and inheritance. Polymorphism through function overloading operators. Inheritance and templates. Use of the standard template library containers and algorithms. | Prerequisite: CS-UY 1134 (C- or better); Corequisite: EX-UY 1",None,CS-UY 2124 Prerequisite: CS-UY 1134 with C- or better; Corequisite:  EX-UY 1,John Sterling,Fr 11:00AM - 1:50PM,01/27/2020 - 05/11/2020,Jacobs Academic Bldg Rm 773 Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Open
Section: BK01-RSC (17498) Session: Regular Academic Session Days/Times: TBA Dates: 01/27/2020 - 05/11/2020 Instructor: Gregory Aloupis Status: Open,CS-UY 420X - BK01,UNDERGRADUATE RESEARCH IN COMPUTER SCIENCE,Regular Academic Session,17498,Undergraduate,2 - 4 units,Ugrd Tandon Graded,"The student conducts research under the supervision of a faculty member, possibly leading to results publishable in the computer science literature. A substantial commitment to this work is expected. The research project may be one or two semesters, to be determined in consultation with the faculty supervisor. Students must submit written and/or oral reports at the conclusion of the project. Students who are interested in taking this course should speak to faculty members well in advance about research opportunities and background needed. | Prerequisite: permission of instructor",None,Department Consent Required,Greg Aloupis,TBA,01/27/2020 - 05/11/2020,No Room Required Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Research Required,Open
Section: BK04-PRO (17177) Session: Regular Academic Session Days/Times: TBA Dates: 01/27/2020 - 05/11/2020 Instructor: Staff Status: Open,CS-UY 394X - BK04,SPECIAL TOPICS IN COMPUTER SCIENCE,Regular Academic Session,17177,Undergraduate,1 - 4 units,Ugrd Tandon Graded,This variable-credit special topics course is for juniors and seniors. | Prerequisite: Departmentâ€™s permission.,None,Department Consent Required,Staff,TBA,01/27/2020 - 05/11/2020,No Room Required Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Project Required,Open
Section: LB11-LAB (17437) Session: Regular Academic Session Days/Times: Fr 11:00am - 1:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Itay Tal Status: Closed,CS-UY 1134 - LB11,Data Structures and Algorithms,Regular Academic Session,17437,Undergraduate,0 units,Ugrd Tandon Graded,This course covers abstract data types and the implementation and use of standard data structures along with fundamental algorithms and the basics of algorithm analysis. Not open to students who have taken CS-UY 2134. | Prerequisite for Brooklyn Students: CS-UY 1114 (C- or better) | Prerequisite for Abu Dhabi Students: CS-UH 1001 or ENGR-UH 1000 | Prerequisite for Shanghai Students: CSCI-SHU 101 | Corequisite for all Students: EX-UY 1,None,CS-UY 1134 Prerequisite: CS-UY 1114 (C- or better); Corequisite: EX-UY 1,Itay Tal,Fr 11:00AM - 1:50PM,01/27/2020 - 05/11/2020,Jacobs Academic Bldg Rm 775 Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Closed
Section: BLEC-LEC (17146) Session: Regular Academic Session Days/Times: MoWe 2:30pm - 4:20pm Dates: 01/27/2020 - 05/11/2020 Instructor: Anam Waheed Status: Open,CS-UY 2214 - BLEC,COMPUTER ARCHITECTURE AND ORGANIZATION,Regular Academic Session,17146,Undergraduate,4 units,Ugrd Tandon Graded,"This course covers a top-down approach to computer design. Topics: Computer architecture, introduction to assembly language programming and machine language set design. Computer organization, logical modules; CPU, memory and I/O units. Instruction cycles, the datapath and control unit. Hardwiring and microprogramming. The memory subsystem and timing. I/O interface, interrupts, programmed I/O and DMA. Introduction to pipelining and memory hierarchies. Fundamentals of computer networks. | Prerequisite for Brooklyn Engineering Students: CS-UY 2204 (C- or better) for computer engineering majors; (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better) and MA-UY 2314 for computer science majors. Students who are neither computer engineering majors nor computer science majors must take either CS-UY 2204 (C- or better) OR (CS-UY 2134 or CS-UY 1134) and (CS-UY 2124 or CS-UY 1124) (C- or better) and MA-UY 2314.| Prerequisite for Abu Dhabi Students: ENGR-AD 121. | Prerequisites for Shanghai Students: CSCI-SHU 2314 and CSCI-SHU 210 (C- or better) or CENG-SHU 201. ABET competencies: a, c, e.",None,Prerequisites: CS-UY 2204 (C- or better) for Comp Eng majors; (CS-UY 2134 or 1134) and (CS-UY 2124 or 1124) (C- or better); and MA-UY 2314 for Comp Sci majors.| Alternative prereq for Abu Dhabi and Shanghai students; refer to course description.,Anam Waheed,MoWe 2:30PM - 4:20PM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 215 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,"Recitation Required, Lecture Required",Open
Section: BK05-LEC (17310) Topic: PRIVACY IN THE ELECTRONIC SOCIETYÂ  Session: Regular Academic Session Days/Times: We 3:20pm - 5:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Rachel Ann Greenstadt Status: Open This is a combined section class,CS-UY 3943 - BK05,SPECIAL TOPICS IN COMPUTER SCIENCE,Regular Academic Session,17310,Undergraduate,3 units,Ugrd Tandon Graded,PRIVACY IN THE ELECTRONIC SOCIETY,None,This three-credit special topics course is for juniors and seniors. | Prerequisite: Departmentâ€™s permission.,Rachel Ann Greenstadt,We 3:20PM - 5:50PM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 221 Loc: Brooklyn Campus",In-Person,Lecture Required,Brooklyn Campus,Lecture Required,Open
Section: A1LB-LAB (16874) Session: Regular Academic Session Days/Times: Fr 9:30am - 10:50am Dates: 01/27/2020 - 05/11/2020 Instructor: Kok-Ming Leung Status: Open,CS-UY 1133 - A1LB,Engineering Problem Solving and Programming,Regular Academic Session,16874,Undergraduate,0 units,Ugrd Tandon Graded,"This introductory course in engineering problem solving and computer programming is for all undergraduate engineering students without prior programming experience in any language. The course covers the fundamentals of computer programming and its underlying principles using the MATLAB programming language. Concepts and methods are illustrated by examples from various engineering disciplines. Useful numerical techniques and their applications to real-world problems in science and engineering are also discussed.  ABET competencies: a, e, k. | Corequisite: EX-UY 1.",None,Corequisite: EX-UY  1.,K Ming Leung,Fr 9:30AM - 10:50AM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 202 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,"Laboratory Required, Lecture Required",Open
